MCU;STO;F_VENDAS;CAPTACAO;SE;REATE;REDE;CAV;EMAIL;DIAMANTES;PEMAIS;G50
14570;32301090;AC IATI;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peaciati@correios.com.br;;;
14571;32301103;AC IBIRAJUBA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacibirajuba@correios.com.br;;;
14608;32301472;AC ITAIBA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacitaiba@correios.com.br;;;
14685;32302304;AC JAQUEIRA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacjaqueira@correios.com.br;;;
14572;32301111;AC JATAUBA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacjatauba@correios.com.br;;;
14677;32302223;AC JUCATI;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacjucati@correios.com.br;;;
14573;32301120;AC JUPI;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacjupi@correios.com.br;;;
14558;32300972;AC JUREMA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacjurema@correios.com.br;;;
14544;32300832;AC LAGOA DO OURO;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peaclagoadoouro@correios.com.br;;;
14542;32300816;AC LAGOA DOS GATOS;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peaclagoadosgatos@correios.com.br;;;
14559;32300981;AC LAJEDO;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peaclajedo@correios.com.br;CARUARU DIAMANTE;;G50
14545;32300841;AC MARAIAL;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacmaraial@correios.com.br;;;
14582;32301219;AC PALMEIRINA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacpalmeirina@correios.com.br;;;
14583;32301227;AC PANELAS;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacpanelas@correios.com.br;;;
14575;32301146;AC PARANATAMA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacparanatama@correios.com.br;;;
14588;32301278;AC PEDRA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacpedra@correios.com.br;;;
14590;32301294;AC PESQUEIRA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacpesqueira@correios.com.br;CARUARU DIAMANTE;;G50
14577;32301162;AC POCAO;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacpocao@correios.com.br;;;
14522;32300611;AC PRIMAVERA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacprimavera@correios.com.br;;;
14603;32301421;AC QUIPAPA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacquipapa@correios.com.br;;;
14653;32301944;AC RIACHO DAS ALMAS;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacriachodasalmas@correios.com.br;;;
14548;32300875;AC SAIRE;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacsaire@correios.com.br;;;
14579;32301189;AC SALOA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacsaloa@correios.com.br;;;
14584;32301235;AC SANHARO;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacsanharo@correios.com.br;;;
14613;32301529;AC SANTA CRUZ DO CAPIBARIBE;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacsantacruzdocapibaribe@correios.com.br;CARUARU DIAMANTE;PERNAMBUCO +;G50
14551;32300905;AC SANTA MARIA DO CAMBUCA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacsantamariadocambuca@correios.com.br;;;
14552;32300913;AC SAO BENEDITO DO SUL;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacsaobeneditodosul@correios.com.br;;;
14616;32301553;AC SAO BENTO DO UNA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacsaobentodouna@correios.com.br;;;
14617;32301561;AC SAO CAITANO;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacsaocaitano@correios.com.br;;;
14586;32301251;AC SAO JOAO;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacsaojoao@correios.com.br;;;
14621;32301600;AC SAO JOAQUIM DO MONTE;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacsaojoaquimdomonte@correios.com.br;;;
14627;32301669;AC SURUBIM;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacsurubim@correios.com.br;CARUARU DIAMANTE;PERNAMBUCO +;G50
14589;32301286;AC TACAIMBO;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peactacaimbo@correios.com.br;;;
14630;32301693;AC TAQUARITINGA DO NORTE;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peactaquaritingadonorte@correios.com.br;;;G50
14592;32301316;AC TEREZINHA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacterezinha@correios.com.br;;;
14556;32300956;AC TORITAMA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peactoritama@correios.com.br;CARUARU DIAMANTE;PERNAMBUCO +;G50
14619;32301588;AC TUPANATINGA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peactupanatinga@correios.com.br;;;
14625;32301642;AC VENTUROSA;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacventurosa@correios.com.br;;;
14674;32302185;AC VERTENTE DO LERIO;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacvertentedolerio@correios.com.br;;;
14639;32301782;AC VERTENTES;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE PRÓPRIA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peacvertentes@correios.com.br;;;
424861;424861;AGF COLINAS;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE TERCEIRIZADA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peagfcolinas@correios.com.br;CARUARU DIAMANTE;;
424291;424291;AGF NOVA MAURICIO DE NASSAU;GERENCIA DE ATENDIMENTO;PE;REATE 02 - PE;REDE TERCEIRIZADA - PE;FABIO JUNIOR DO NASCIMENTO SANTOS;peagfnovamauriciodenassau@correios.com.br;CARUARU DIAMANTE;;
14464;32300026;AC AFOGADOS DA INGAZEIRA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacadaingazeira@correios.com.br;SALGUEIRO DIAMANTE;;G50
14626;32301651;AC AFRANIO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacafranio@correios.com.br;;;
14618;32301570;AC ARARIPINA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacararipina@correios.com.br;SALGUEIRO DIAMANTE;PERNAMBUCO +;G50
14482;32300204;AC BELEM DE SAO FRANCISCO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacbelemsfrancisco@correios.com.br;;;
14594;32301332;AC BETANIA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacbetania@correios.com.br;;;
14489;32300271;AC BODOCO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacbodoco@correios.com.br;;;
14595;32301341;AC BREJINHO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacbrejinho@correios.com.br;SALGUEIRO DIAMANTE;;
14500;32300387;AC CABROBO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peaccabrobo@correios.com.br;;;
14596;32301359;AC CALUMBI;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peaccalumbi@correios.com.br;;;
14597;32301367;AC CARNAIBA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peaccarnaiba@correios.com.br;;;
35696;32300417;AC CARNAUBEIRA DA PENHA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peaccarnaubeirapenha@correios.com.br;;;
14631;32301707;AC CEDRO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peaccedro@correios.com.br;;;
14528;32300671;AC CUSTODIA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peaccustodia@correios.com.br;SALGUEIRO DIAMANTE;;G50
14676;32302215;AC DORMENTES;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacdormentes@correios.com.br;;;
14633;32301723;AC EXU;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacexu@correios.com.br;;;
14535;32300743;AC FLORES;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacflores@correios.com.br;;;
14536;32300751;AC FLORESTA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacfloresta@correios.com.br;;;
14634;32301731;AC GRANITO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacgranito@correios.com.br;;;
14600;32301391;AC IBIMIRIM;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacibimirim@correios.com.br;;;
14601;32301405;AC IGUARACI;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peaciguaraci@correios.com.br;;;
14604;32301430;AC INAJA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacinaja@correios.com.br;;;
14605;32301448;AC INGAZEIRA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacingazeira@correios.com.br;;;
14635;32301740;AC IPUBI;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacipubi@correios.com.br;;;
14637;32301766;AC ITACURUBA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacitacuruba@correios.com.br;;;
14609;32301481;AC ITAPETIM;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacitapetim@correios.com.br;SALGUEIRO DIAMANTE;;
14680;32302258;AC JATOBA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacjatoba@correios.com.br;;;
14683;32302282;AC LAGOA GRANDE;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peaclagoagrande@correios.com.br;;;
14682;32302274;AC MANARI;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacmanari@correios.com.br;;;
14638;32301774;AC MIRANDIBA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacmirandiba@correios.com.br;;;
14646;32301863;AC MOREILANDIA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacmoreilandia@correios.com.br;;;
14640;32301791;AC OROCO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacoroco@correios.com.br;;;
14580;32301197;AC OURICURI;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacouricuri@correios.com.br;SALGUEIRO DIAMANTE;;G50
14642;32301812;AC PARNAMIRIM;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacparnamirim@correios.com.br;;;
14549;32300883;AC PETROLANDIA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacpetrolandia@correios.com.br;SALGUEIRO DIAMANTE;;
14591;32301308;AC PETROLINA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacpetrolina@correios.com.br;SALGUEIRO DIAMANTE;PERNAMBUCO +;G50
14679;32302240;AC QUIXABA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacquixaba@correios.com.br;;;
14612;32301511;AC SALGUEIRO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacsalgueiro@correios.com.br;SALGUEIRO DIAMANTE;PERNAMBUCO +;G50
14675;32302193;AC SANTA CRUZ;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacsantacruz@correios.com.br;;;
14672;32302169;AC SANTA CRUZ DA BAIXA VERDE;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacscruzbaixaverde@correios.com.br;;;
14678;32302231;AC SANTA FILOMENA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacsantafilomena@correios.com.br;;;
14644;32301839;AC SANTA MARIA DA BOA VISTA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacstamariaboavista@correios.com.br;;;
14610;32301499;AC SANTA TEREZINHA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacsantaterezinha@correios.com.br;;;
14484;32300221;AC SAO JOSE DO BELMONTE;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacsaojosebelmonte@correios.com.br;;;
14622;32301618;AC SAO JOSE DO EGITO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacsaojosedoegito@correios.com.br;SALGUEIRO DIAMANTE;;
14624;32301634;AC SERRA TALHADA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacserratalhada@correios.com.br;SALGUEIRO DIAMANTE;PERNAMBUCO +;G50
14645;32301855;AC SERRITA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacserrita@correios.com.br;;;
14468;32300069;AC SERTANIA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacsertania@correios.com.br;SALGUEIRO DIAMANTE;;G50
14611;32301502;AC SOLIDAO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacsolidao@correios.com.br;;;
14628;32301677;AC TABIRA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peactabira@correios.com.br;SALGUEIRO DIAMANTE;;G50
14615;32301545;AC TACARATU;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peactacaratu@correios.com.br;;;
14647;32301871;AC TERRA NOVA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peacterranova@correios.com.br;;;
14648;32301880;AC TRINDADE;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;LUCRECIA TORRES DE BARROS COSTA;peactrindade@correios.com.br;;;
14636;32301758;AC TRIUNFO;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peactriunfo@correios.com.br;SALGUEIRO DIAMANTE;;
14623;32301626;AC TUPARETAMA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peactuparetama@correios.com.br;;;
14649;32301898;AC VERDEJANTE;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE PRÓPRIA - PE;ELINESIA QUEIROZ DA SILVA;peacverdejante@correios.com.br;;;
236509;236509;AGF NOVA AREIA BRANCA;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE TERCEIRIZADA - PE;LUCRECIA TORRES DE BARROS COSTA;agfnovaareiabranca@ig.com.br;SALGUEIRO DIAMANTE;;
424289;424289;AGF RUA CORONEL AMORIM;GERENCIA DE ATENDIMENTO;PE;REATE 03 - PE;REDE TERCEIRIZADA - PE;LUCRECIA TORRES DE BARROS COSTA;agfrcelamorim@outlook.com;SALGUEIRO DIAMANTE;;
85048330;85048330;ROBERTO JOSE LOBATO GABRIEL;GERENCIA DE VENDAS;PE;;GEVEN;;;;;
85055417;85055417;ANGELO FLAVIO DE ARAUJO BASTOS;GERENCIA DE VENDAS;PE;;GEVEN;;;;;
85057444;85057444;JOSE PEDROSA SOARES;GERENCIA DE VENDAS;PE;;GEVEN;;;;;
85063916;85063916;CARLOS ROBERTO DOS SANTOS CORDEIRO;GERENCIA DE VENDAS;PE;;GEVEN;;;;;
85064564;85064564;RICARDO MARINHO SIQUEIRA DE OLIVEIRA;GERENCIA DE VENDAS;PE;;GEVEN;;;;;
85066648;85066648;JOSE IVO PEREIRA JUNIOR;GERENCIA DE VENDAS;PE;;GEVEN;;;;;
85069140;85069140;LIDIANE ARAUJO SANTOS;GERENCIA DE VENDAS;PE;;GEVEN;;;;;
85086150;85086150;LUANA GUIMARAES DA SILVA PEREIRA;GERENCIA DE VENDAS;PE;;GEVEN;;;;;
88888896;88888896;CARTEIRA VAGA - PE;GERENCIA DE VENDAS;PE;;GEVEN;;;;;
434126;434126;PE;GERENCIA DE VENDAS;PE;;GEVEN;;;;;
435270;435270;CARTEIRA VAGA - GEVEN PE;GERENCIA DE VENDAS;PE;;GEVEN;;;;;
88888960;88888960;CARTEIRA CAC- PE;VENDAS A DISTANCIA;PE;;CAC;;;;;
8002070;8002070;CLIENTE SEM GESTÃO - PE;GERENCIA DE ATENDIMENTO;PE;CARTEIRA VAGA - PE;CARTEIRA VAGA - PE;CARTEIRA VAGA - PE;;;;
